"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060023820","36230","9314"
"T20060023834","211932","5433"
"T20060023850","39815","101052"
"T20060023860","44633","8991"
"T20060023924","29746","6456"
"T20060023960","42467","6083"
"T20060023981","57539","5760"
"T20060024054","37624","106078"
"T20060024209","204978","1001"
"T20060024258","713","5957"
"T20060024265","37164","8624"
"T20060024318","40650","5527"
"T20060024417","44014","6846"
"T20060024419","38572","8805"
"T20060024484","47857","5825"
"T20060024496","35662","8601"
"T20060024506","50370","7999"
"T20060024550","53382","2289"
"T20060024579","37164","8624"
"T20060024668","29549","5300"
"T20060024753","26300","105989"
"T20060024781","36782","6448"
"T20060024869","37452","100635"
"T20060024884","40679","8954"
"T20060024890","37496","5124"
"T20060024934","55755","6102"
"T20060025010","44660","8820"
"T20060025013","886","6489"
"T20060025094","713","5957"
"T20060025132","10475","1028"
"T20060025185","58925","3077"
"T20060025262","41749","5734"
"T20060025316","37894","9038"
"T20060025389","876","6270"
"T20060025442","795","6010"
"T20060025448","38132","103806"
"T20060025461","35619","6344"
"T20060025462","35304","9276"
"T20060025486","39528","5326"
"T20060025486","39528","106090"
"T20060025488","42805","6348"
"T20060025524","48129","7699"
"T20060025556","42538","6094"
"T20060025577","52973","102710"
"T20060025617","57408","9048"
"T20060025617","57408","102169"
"T20060025662","55763","103745"
"T20060025695","40134","100903"
"T20060025706","41965","5792"
"T20060025754","29746","6456"
"T20060025781","57544","100891"
"T20060025784","46837","5498"
"T20060025855","42065","8922"
"T20060025868","35740","9411"
"T20060025877","10381","1002"
"T20060025918","38098","9032"
"T20060025967","949","6684"
"T20060026143","47550","6775"
"T20060026172","376","102938"
"T20060026191","55756","102976"
"T20060026206","56226","103782"
"T20060026276","478","5254"
"T20060026284","55776","100562"
"T20060026293","36797","8602"
"T20060026297","33879","1002"
"T20060026315","2802","101246"
"T20060026326","44986","9015"
"T20060026391","53892","7653"
"T20060026463","49695","1027"
"T20060026472","39281","5375"
"T20060026513","876","6270"
"T20060026539","49750","7643"
"T20060026543","54191","9407"
"T20060026566","19433","105656"
"T20060026572","54721","8000"
"T20060026588","40650","5527"
"T20060026613","533","8871"
"T20060026625","52110","1153"
"T20060026713","38499","9385"
"T20060026791","33879","1002"
"T20060026799","42659","6106"
"T20060026843","45413","9076"
"T20060026860","29893","1001"
"T20060026891","323","104099"
"T20060026977","37170","9420"
"T20060027056","55780","5216"
"T20060027197","42752","6315"
"T20060027212","45508","100061"
"T20060027221","53061","100881"
"T20060027233","36982","9440"
"T20060027237","35387","9426"
"T20060027359","42197","6153"
"T20060027407","45367","105053"
"T20060027493","55789","4223"
"T20060027531","55790","101008"
"T20060027660","49826","7675"
"T20060027663","35315","6359"
"T20060027680","37788","5457"
"T20060027694","39715","5163"
"T20060027757","57530","5678"
"T20060027836","48218","100111"
"T20060027850","35308","1001"
"T20060027850","35308","9286"
"T20060027922","35646","8529"
"T20060027928","37945","102352"
"T20060027950","11083","5703"
"T20060027988","276","9601"
"T20060027994","410","9023"
"T20060028020","36448","6458"
"T20060028079","29770","6654"
"T20060028130","39051","104069"
"T20060028137","43096","6203"
"T20060028175","50223","7820"
"T20060028179","50154","7784"
"T20060028190","37894","9038"
"T20060028278","793","1000"
"T20060028278","793","6086"
"T20060028300","222023","6378"
"T20060028322","57885","2242"
"T20060028360","998","8740"
"T20060028615","46521","5127"
"T20060028616","44463","7708"
"T20060028641","10381","1002"
"T20060028685","35387","9426"
"T20060028695","36083","9213"
"T20060028740","119","9473"
"T20060028753","44222","8628"
"T20060028803","47013","5822"
"T20060028808","47029","9370"
"T20060028838","55819","1152"
"T20060028854","39558","5308"
"T20060028892","35714","9155"
"T20060028919","29386","9210"
"T20060028963","50981","100361"
"T20060028993","43147","6275"
"T20060029068","39553","5284"
